Posizione angolare, Oscillazioni forzate 3.00 V
Tempo ( s )	Posizione angolare ( rad )
53,8696	2,856
53,9096	3,005
53,9496	3,131
53,9896	3,234
54,0296	3,313
54,0696	3,368
54,1096	3,398
54,1496	3,402
54,1896	3,383
54,2296	3,346
54,2696	3,288
54,3096	3,212
54,3496	3,116
54,3896	3,003
54,4296	2,873
54,4696	2,725
54,5096	2,564
54,5496	2,389
54,5896	2,204
54,6296	2,011
54,6696	1,811
54,7096	1,610
54,7496	1,407
54,7896	1,208
54,8296	1,013
54,8696	0,828
54,9096	0,657
54,9496	0,498
54,9896	0,357
55,0296	0,232
55,0696	0,130
55,1096	0,049
55,1496	-0,009
55,1896	-0,042
55,2296	-0,052
55,2696	-0,036
55,3096	0,003
55,3496	0,064
55,3896	0,146
55,4296	0,248
55,4696	0,369
55,5096	0,507
55,5496	0,660
55,5896	0,825
55,6296	0,999
55,6696	1,180
55,7096	1,365
55,7496	1,552
55,7896	1,739
55,8296	1,924
55,8696	2,105
55,9096	2,278
55,9496	2,444
55,9896	2,601
56,0296	2,747
56,0696	2,881
56,1096	2,999
56,1496	3,102
56,1896	3,190
56,2296	3,258
56,2696	3,303
56,3096	3,329
56,3496	3,329
56,3896	3,307
56,4296	3,261
56,4696	3,195
56,5096	3,104
56,5496	2,991
56,5896	2,853
56,6296	2,692
56,6696	2,512
56,7096	2,312
56,7496	2,097
56,7896	1,869
56,8296	1,634
56,8696	1,392
56,9096	1,150
56,9496	0,909
56,9896	0,679
57,0296	0,462
57,0696	0,259
57,1096	0,079
57,1496	-0,079
57,1896	-0,207
57,2296	-0,305
57,2696	-0,369
57,3096	-0,399
57,3496	-0,393
57,3896	-0,352
57,4296	-0,276
57,4696	-0,170
57,5096	-0,033
57,5496	0,134
57,5896	0,324
57,6296	0,537
57,6696	0,768
57,7096	1,013
57,7496	1,268
57,7896	1,528
57,8296	1,789
57,8696	2,047
57,9096	2,297
57,9496	2,535
57,9896	2,758
58,0296	2,963
58,0696	3,148
58,1096	3,308
58,1496	3,443
58,1896	3,548
58,2296	3,624
58,2696	3,665
58,3096	3,669
58,3496	3,643
58,3896	3,585
58,4296	3,498
58,4696	3,382
58,5096	3,239
58,5496	3,071
58,5896	2,879
58,6296	2,666
58,6696	2,436
58,7096	2,193
58,7496	1,938
58,7896	1,679
58,8296	1,418
58,8696	1,161
58,9096	0,909
58,9496	0,671
58,9896	0,449
59,0296	0,248
59,0696	0,071
59,1096	-0,082
59,1496	-0,203
59,1896	-0,292
59,2296	-0,349
59,2696	-0,371
59,3096	-0,360
59,3496	-0,316
59,3896	-0,240
59,4296	-0,135
59,4696	-0,005
59,5096	0,151
59,5496	0,328
59,5896	0,523
59,6296	0,732
59,6696	0,953
59,7096	1,180
59,7496	1,411
59,7896	1,640
59,8296	1,866
59,8696	2,084
